CustomerID,Name,Age,Gender,Location,Subscription_Length_Months,Monthly_Bill,Total_Usage_GB,Churn
52206,Customer_52206,38,Female,New York,2,93.16,461,0
267,Customer_267,44,Female,Chicago,19,81.28,448,0
23483,Customer_23483,30,Male,Miami,11,67.7,322,1
78509,Customer_78509,41,Female,New York,18,57.59,201,0
71010,Customer_71010,67,Female,Los Angeles,13,51.5,263,1
45467,Customer_45467,42,Female,Chicago,8,72.66,350,1
60377,Customer_60377,59,Male,Miami,22,52.8,132,0
2313,Customer_2313,35,Male,Houston,7,90.19,372,0
74323,Customer_74323,45,Male,Houston,17,91.1,344,0
74014,Customer_74014,41,Female,Houston,17,86.7,316,1
94406,Customer_94406,43,Male,Miami,16,51.26,165,1
65333,Customer_65333,47,Male,New York,16,98.83,338,0
33370,Customer_33370,49,Male,Los Angeles,9,68.13,116,1
47476,Customer_47476,22,Female,Miami,17,67.77,454,0
23143,Customer_23143,32,Male,Los Angeles,4,67.71,106,0
37641,Customer_37641,23,Female,Los Angeles,1,84.95,71,1
44320,Customer_44320,32,Male,Los Angeles,14,63.57,178,1
78376,Customer_78376,66,Female,New York,21,34.08,413,1
62708,Customer_62708,34,Male,Chicago,9,67.49,239,0
50184,Customer_50184,31,Female,Miami,15,56.36,93,1
42802,Customer_42802,34,Female,Miami,15,34.24,118,0
89661,Customer_89661,45,Female,Chicago,10,89.95,469,0
159,Customer_159,41,Female,Miami,21,80.3,351,1
1617,Customer_1617,69,Female,Houston,9,68.16,448,0
37758,Customer_37758,26,Male,Houston,6,75.38,61,0
56310,Customer_56310,68,Male,Miami,21,40.15,252,0
71991,Customer_71991,40,Male,New York,22,57.11,297,1
33197,Customer_33197,55,Female,Los Angeles,14,90.42,238,0
98367,Customer_98367,47,Female,New York,6,79.63,334,0
7509,Customer_7509,70,Male,New York,15,74.26,299,0
87806,Customer_87806,66,Female,Houston,5,89.89,429,1
17545,Customer_17545,18,Female,Houston,16,49.45,188,1
86727,Customer_86727,57,Female,New York,23,56.14,486,1
40730,Customer_40730,37,Female,Los Angeles,8,37.82,384,1
98758,Customer_98758,39,Male,New York,6,70.62,280,0
40493,Customer_40493,63,Female,Chicago,2,94.24,347,0
39399,Customer_39399,29,Male,Los Angeles,11,97.72,345,0
64860,Customer_64860,57,Male,Los Angeles,14,36.17,132,0
30513,Customer_30513,25,Male,Miami,16,31.9,154,1
39313,Customer_39313,18,Male,Miami,22,46.37,268,0
3513,Customer_3513,65,Male,Houston,7,85.24,291,1
70674,Customer_70674,25,Female,New York,9,94.84,315,1
50385,Customer_50385,32,Male,Miami,13,81.11,275,1
10630,Customer_10630,66,Male,New York,4,39.35,190,0
62900,Customer_62900,61,Female,Houston,2,49.52,116,1
71268,Customer_71268,30,Male,Los Angeles,3,83.83,97,1
86282,Customer_86282,63,Male,New York,12,60.06,272,1
89673,Customer_89673,28,Female,Miami,15,32.25,186,0
94517,Customer_94517,25,Female,Los Angeles,5,41.1,466,1
12999,Customer_12999,22,Female,Miami,2,67.63,228,1
19401,Customer_19401,33,Female,Chicago,1,33.25,389,1
376,Customer_376,52,Female,Miami,7,64.03,93,1
85402,Customer_85402,54,Male,New York,15,43.59,353,0
55234,Customer_55234,28,Male,Houston,6,60.53,372,0
83695,Customer_83695,69,Female,Houston,4,41.45,401,1
96174,Customer_96174,30,Female,Chicago,13,64.79,62,1
65549,Customer_65549,25,Male,Los Angeles,11,35.97,299,1
88142,Customer_88142,63,Female,New York,24,42.89,175,0
72849,Customer_72849,21,Female,New York,6,41.57,188,0
23881,Customer_23881,39,Male,Miami,8,79.4,433,0
15806,Customer_15806,27,Female,New York,15,34.86,60,0
48387,Customer_48387,70,Female,Chicago,2,65.48,472,0
42606,Customer_42606,42,Female,New York,1,62.77,136,1
60729,Customer_60729,64,Female,Chicago,1,82.53,321,1
26107,Customer_26107,18,Female,Chicago,17,66.04,210,1
58582,Customer_58582,69,Male,Chicago,5,84.17,479,1
71050,Customer_71050,33,Female,Chicago,19,30.42,205,1
33875,Customer_33875,53,Male,Los Angeles,4,72.95,497,1
29,Customer_29,31,Male,Miami,5,72.09,270,0
52135,Customer_52135,69,Male,Chicago,3,50.4,433,1
37630,Customer_37630,54,Male,Miami,1,83.02,265,0
72284,Customer_72284,63,Female,Houston,7,83.37,467,0
52849,Customer_52849,67,Male,Miami,17,56.92,496,0
39307,Customer_39307,33,Female,New York,12,67.37,370,0
95724,Customer_95724,36,Male,Chicago,9,81.84,494,1
72976,Customer_72976,20,Male,New York,11,31.61,397,0
79004,Customer_79004,20,Male,Houston,15,38.75,114,0
59973,Customer_59973,50,Female,Los Angeles,11,69.15,207,1
